open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1710944340000,34.297,34.322,34.086,34.160,2877.1,1710944399999,98296.0189,826,1650.1,56376.1844,0
1710944400000,34.154,34.335,34.142,34.316,1241.0,1710944459999,42454.5824,502,695.5,23796.4020,0
1710944460000,34.325,34.335,34.149,34.162,3090.0,1710944519999,105776.1488,540,1858.2,63572.2441,0
1710944520000,34.164,34.192,34.086,34.161,2877.6,1710944579999,98208.1145,466,2257.8,77049.8138,0
1710944580000,34.164,34.272,34.124,34.229,2346.9,1710944639999,80223.5103,571,713.5,24407.0248,0
1710944640000,34.226,34.352,34.201,34.313,1169.1,1710944699999,40091.7182,382,715.3,24526.1505,0
1710944700000,34.312,34.376,34.250,34.331,1437.3,1710944759999,49327.0808,467,772.3,26505.3315,0
1710944760000,34.328,34.351,34.194,34.237,1954.4,1710944819999,66902.4752,330,1434.7,49105.3884,0
1710944820000,34.235,34.236,34.186,34.209,426.3,1710944879999,14583.4594,145,288.5,9869.6638,0
1710944880000,34.209,34.293,34.153,34.176,1727.3,1710944939999,59097.5485,406,904.4,30936.1871,0
1710944940000,34.175,34.264,34.165,34.259,874.3,1710944999999,29903.9600,197,536.2,18340.8206,0
1710945000000,34.257,34.257,34.086,34.152,1333.3,1710945059999,45542.8518,575,632.9,21612.6682,0
1710945060000,34.156,34.189,34.046,34.161,3711.2,1710945119999,126576.0881,804,2380.6,81208.2346,0
1710945120000,34.159,34.206,34.122,34.190,993.3,1710945179999,33936.0004,399,565.0,19301.6340,0
1710945180000,34.182,34.213,34.027,34.048,1610.5,1710945239999,54962.5304,592,533.3,18202.9712,0
1710945240000,34.060,34.083,33.946,33.966,1534.0,1710945299999,52177.7040,529,420.8,14317.6412,0
1710945300000,33.964,33.968,33.865,33.924,1329.1,1710945359999,45069.2811,574,535.6,18167.0529,0
1710945360000,33.919,33.968,33.801,33.898,2653.7,1710945419999,89879.2099,658,1424.5,48241.6346,0
1710945420000,33.894,33.995,33.844,33.991,1177.9,1710945479999,39936.7082,414,497.7,16883.5383,0
1710945480000,33.976,34.066,33.971,34.063,1614.3,1710945539999,54908.4665,429,1346.5,45802.0742,0
1710945540000,34.067,34.186,34.066,34.089,2078.7,1710945599999,70927.0226,464,546.0,18625.5900,0
1710945600000,34.083,34.116,33.933,34.002,1890.3,1710945659999,64275.9678,542,1358.4,46185.9466,0
1710945660000,33.993,34.093,33.930,34.070,2014.2,1710945719999,68455.3789,508,1292.8,43914.7675,0
1710945720000,34.072,34.123,33.976,33.976,1040.6,1710945779999,35447.7939,307,589.2,20067.1321,0
1710945780000,33.981,33.991,33.940,33.943,856.3,1710945839999,29083.2067,246,552.2,18756.8581,0
1710945840000,33.947,34.038,33.942,34.022,415.2,1710945899999,14111.3329,186,178.2,6056.7809,0
1710945900000,34.012,34.053,33.939,33.998,2134.0,1710945959999,72560.9772,488,690.5,23488.6362,0
1710945960000,34.001,34.037,33.945,34.030,1630.5,1710946019999,55444.3232,379,1268.2,43127.5764,0
1710946020000,34.028,34.037,33.936,33.990,1034.1,1710946079999,35150.0899,357,413.1,14043.2189,0
1710946080000,33.992,34.180,33.990,34.166,1013.0,1710946139999,34531.9692,380,683.7,23304.0648,0
1710946140000,34.168,34.182,33.958,33.989,1743.7,1710946199999,59432.7139,435,643.1,21916.9368,0
1710946200000,33.986,34.000,33.836,33.873,1993.9,1710946259999,67557.8523,450,536.3,18177.6249,0
1710946260000,33.876,33.892,33.803,33.848,2613.5,1710946319999,88449.3330,461,1447.6,48982.8964,0
1710946320000,33.860,33.979,33.857,33.974,736.9,1710946379999,24992.8496,326,377.9,12814.6101,0
1710946380000,33.974,34.143,33.971,34.122,8741.1,1710946439999,297703.9694,747,7592.0,258538.4969,0
1710946440000,34.126,34.169,34.090,34.135,2743.0,1710946499999,93592.0733,527,685.9,23409.3111,0
1710946500000,34.136,34.218,34.106,34.189,1701.8,1710946559999,58135.7300,410,815.5,27869.9809,0
1710946560000,34.189,34.201,34.082,34.115,1064.7,1710946619999,36333.3610,243,769.5,26260.1745,0
1710946620000,34.121,34.175,34.047,34.114,981.6,1710946679999,33463.8107,357,386.5,13177.0702,0
1710946680000,34.113,34.113,34.047,34.084,432.1,1710946739999,14719.8748,157,345.5,11769.3385,0
1710946740000,34.084,34.096,34.029,34.050,789.4,1710946799999,26889.8246,186,255.4,8697.9629,0
1710946800000,34.045,34.050,33.941,33.967,807.3,1710946859999,27431.6221,371,407.9,13855.4374,0
1710946860000,33.965,34.135,33.955,34.056,1982.0,1710946919999,67467.3840,591,1533.1,52174.8476,0
1710946920000,34.053,34.156,33.977,34.022,2834.9,1710946979999,96469.2060,689,1845.2,62772.2192,0
1710946980000,34.017,34.114,33.999,34.114,2115.9,1710947039999,72044.9173,414,912.2,31063.7925,0
1710947040000,34.105,34.131,33.990,33.997,1755.0,1710947099999,59797.8778,383,385.0,13113.6581,0
1710947100000,33.996,34.084,33.907,34.056,1019.8,1710947159999,34664.4270,465,701.0,23829.5900,0
1710947160000,34.055,34.079,33.940,34.053,2760.9,1710947219999,93873.7201,528,1680.4,57146.6573,0
1710947220000,34.053,34.081,33.874,33.874,2566.7,1710947279999,87219.5962,633,725.2,24646.6648,0
1710947280000,33.875,34.061,33.875,34.059,714.4,1710947339999,24276.0682,335,506.5,17212.5280,0
1710947340000,34.055,34.059,33.960,34.008,1265.5,1710947399999,43027.2150,323,930.3,31634.3189,0
1710947400000,34.009,34.091,33.986,33.995,1430.1,1710947459999,48691.8130,381,640.6,21808.5284,0
1710947460000,33.988,34.090,33.970,34.014,2278.4,1710947519999,77497.0764,391,1148.4,39053.1163,0
1710947520000,34.014,34.135,34.011,34.119,1104.9,1710947579999,37655.0317,361,606.8,20668.9385,0
1710947580000,34.115,34.124,33.987,34.038,784.5,1710947639999,26708.9566,281,485.4,16524.8496,0
1710947640000,34.037,34.249,34.037,34.203,1193.6,1710947699999,40783.0870,396,762.0,26038.0712,0
1710947700000,34.204,34.227,33.941,33.970,2483.6,1710947759999,84551.4223,599,1093.9,37240.0302,0
1710947760000,33.957,33.981,33.752,33.813,7075.7,1710947819999,239500.3578,1288,3021.2,102318.0686,0
1710947820000,33.810,33.893,33.732,33.872,3452.9,1710947879999,116749.2686,971,2366.8,80028.8751,0
1710947880000,33.872,34.089,33.816,33.986,5938.9,1710947939999,201456.4036,1188,2308.5,78361.9343,0
1710947940000,33.986,33.986,33.798,33.864,1510.7,1710947999999,51194.5852,625,790.2,26775.7322,0
1710948000000,33.861,34.030,33.846,33.964,2274.1,1710948059999,77213.8523,779,1376.3,46722.3554,0
1710948060000,33.963,34.078,33.911,33.962,1352.6,1710948119999,45974.1219,486,899.7,30579.3660,0
1710948120000,33.965,34.064,33.922,34.041,2914.0,1710948179999,99017.8047,839,1262.0,42889.0809,0
1710948180000,34.034,34.147,33.969,34.129,1636.1,1710948239999,55694.9564,582,998.1,33991.4872,0
1710948240000,34.129,34.133,34.038,34.099,857.1,1710948299999,29213.4118,338,350.7,11953.6067,0
1710948300000,34.099,34.121,33.940,34.006,1609.0,1710948359999,54724.3957,483,979.2,33300.7457,0
1710948360000,33.998,34.001,33.821,33.850,1825.9,1710948419999,61839.8227,415,1001.9,33915.7289,0
1710948420000,33.851,33.942,33.848,33.925,1182.5,1710948479999,40087.8791,330,798.2,27059.2513,0
1710948480000,33.929,33.938,33.818,33.938,2399.3,1710948539999,81306.1340,500,814.6,27597.3150,0
1710948540000,33.944,33.959,33.831,33.924,5941.9,1710948599999,201333.0099,620,1536.6,52077.4225,0
1710948600000,33.933,33.934,33.847,33.868,2030.4,1710948659999,68813.8172,580,999.3,33865.2205,0
1710948660000,33.863,33.863,33.717,33.747,2089.5,1710948719999,70590.8560,544,922.9,31179.4652,0
1710948720000,33.747,33.766,33.565,33.628,5176.0,1710948779999,174218.5112,1075,1957.8,65934.5133,0
1710948780000,33.626,33.626,33.525,33.592,3894.8,1710948839999,130724.1183,937,1509.2,50662.8429,0
1710948840000,33.582,33.718,33.582,33.608,2131.4,1710948899999,71698.9273,723,1078.3,36275.4313,0
1710948900000,33.611,33.823,33.611,33.706,2548.2,1710948959999,85945.3023,999,1331.5,44905.2445,0
1710948960000,33.705,33.733,33.602,33.706,3282.5,1710949019999,110519.5657,802,1726.6,58162.5698,0
1710949020000,33.705,33.718,33.601,33.628,1833.7,1710949079999,61739.8011,576,1028.2,34623.3424,0
1710949080000,33.634,33.662,33.583,33.631,1341.2,1710949139999,45083.3632,398,399.6,13436.3200,0
1710949140000,33.632,33.674,33.584,33.657,890.8,1710949199999,29952.5751,319,336.1,11305.9196,0
1710949200000,33.658,33.726,33.640,33.685,757.4,1710949259999,25507.3058,313,404.7,13630.2409,0
1710949260000,33.682,33.682,33.501,33.539,2094.5,1710949319999,70309.2066,774,802.8,26963.8948,0
1710949320000,33.534,33.544,33.338,33.426,13018.4,1710949379999,434822.9642,1689,4072.2,135986.6723,0
1710949380000,33.426,33.434,33.365,33.429,3445.9,1710949439999,115122.0002,629,1533.2,51212.3709,0
1710949440000,33.432,33.489,33.384,33.408,1960.4,1710949499999,65534.5307,649,1037.0,34672.5075,0
1710949500000,33.398,33.455,33.374,33.421,3225.7,1710949559999,107781.2420,658,2267.2,75759.7790,0
1710949560000,33.420,33.496,33.354,33.475,3643.8,1710949619999,121793.9297,944,1818.5,60773.5336,0
1710949620000,33.477,33.648,33.466,33.588,3788.6,1710949679999,127233.2001,768,1786.1,59982.2729,0
1710949680000,33.581,33.708,33.527,33.689,1807.2,1710949739999,60778.4943,551,1525.4,51303.9755,0
1710949740000,33.688,33.751,33.628,33.751,2167.6,1710949799999,73007.9883,580,903.2,30438.0657,0
1710949800000,33.748,33.750,33.697,33.726,1232.9,1710949859999,41581.6134,313,532.3,17952.2104,0
1710949860000,33.726,33.898,33.726,33.859,2572.3,1710949919999,87007.2465,658,1352.5,45743.3206,0
1710949920000,33.873,33.888,33.740,33.878,1776.8,1710949979999,60092.6390,476,891.1,30139.4355,0
1710949980000,33.881,33.938,33.771,33.771,2220.7,1710950039999,75182.6713,538,802.9,27190.4053,0
1710950040000,33.766,33.827,33.671,33.699,2473.0,1710950099999,83441.2984,596,1507.3,50863.8332,0
1710950100000,33.699,33.749,33.669,33.735,1607.9,1710950159999,54210.8217,443,1200.6,40479.9039,0
1710950160000,33.737,33.744,33.520,33.587,1881.6,1710950219999,63269.4748,431,734.5,24695.6255,0
1710950220000,33.580,33.682,33.570,33.643,1433.6,1710950279999,48203.2630,514,894.3,30074.1852,0
1710950280000,33.641,33.749,33.585,33.747,955.1,1710950339999,32155.8468,450,367.7,12386.1470,0
1710950340000,33.750,33.767,33.668,33.677,555.9,1710950399999,18739.5856,249,124.0,4181.3579,0
1710950400000,33.678,33.678,33.515,33.519,1449.6,1710950459999,48703.8880,439,629.6,21149.2629,0
1710950460000,33.514,33.536,33.363,33.536,2748.4,1710950519999,91898.1020,710,1669.8,55824.9272,0
1710950520000,33.538,33.602,33.476,33.491,2139.5,1710950579999,71750.4004,614,871.3,29227.5626,0
1710950580000,33.492,33.534,33.431,33.510,2740.7,1710950639999,91763.1416,648,1354.6,45364.4053,0
1710950640000,33.508,33.684,33.483,33.678,2188.2,1710950699999,73471.2999,593,1320.6,44327.0442,0
1710950700000,33.677,33.813,33.630,33.688,1703.7,1710950759999,57447.8795,630,848.7,28605.3848,0
1710950760000,33.678,33.744,33.598,33.598,1952.8,1710950819999,65763.5250,551,802.8,27052.3755,0
1710950820000,33.598,33.786,33.582,33.759,1342.9,1710950879999,45259.8386,553,737.9,24868.1564,0
1710950880000,33.762,33.776,33.608,33.608,1421.9,1710950939999,47919.7116,427,313.4,10564.5742,0
1710950940000,33.606,33.688,33.546,33.688,2174.7,1710950999999,73097.6164,574,1625.4,54642.7281,0
1710951000000,33.687,33.704,33.588,33.704,1575.7,1710951059999,53009.6233,495,918.6,30906.6228,0
1710951060000,33.702,33.725,33.604,33.604,791.2,1710951119999,26645.4333,350,375.4,12643.6131,0
1710951120000,33.598,33.600,33.496,33.511,734.3,1710951179999,24635.2293,324,397.8,13348.3737,0
1710951180000,33.517,33.565,33.481,33.562,1334.4,1710951239999,44737.0238,368,883.8,29635.5011,0
1710951240000,33.562,33.662,33.547,33.642,982.1,1710951299999,32998.2289,333,625.6,21026.2825,0
1710951300000,33.642,33.726,33.592,33.640,978.5,1710951359999,32932.3412,414,427.1,14372.0106,0
1710951360000,33.631,33.631,33.414,33.430,1665.6,1710951419999,55778.2849,436,845.4,28316.1727,0
1710951420000,33.429,33.487,33.369,33.454,2250.7,1710951479999,75227.4146,597,1406.3,47012.7469,0
